snapshot;arquivo;url_oficial_receita;tamanho_listado_no_indice;uso
2026-01;Empresas0.zip;https://arquivos.receitafederal.gov.br/dados/cnpj/dados_abertos_cnpj/2026-01/Empresas0.zip;466M;Cadastro de empresas - parte 0
2026-01;Empresas1.zip;https://arquivos.receitafederal.gov.br/dados/cnpj/dados_abertos_cnpj/2026-01/Empresas1.zip;74M;Cadastro de empresas - parte 1
2026-01;Empresas2.zip;https://arquivos.receitafederal.gov.br/dados/cnpj/dados_abertos_cnpj/2026-01/Empresas2.zip;75M;Cadastro de empresas - parte 2
2026-01;Empresas3.zip;https://arquivos.receitafederal.gov.br/dados/cnpj/dados_abertos_cnpj/2026-01/Empresas3.zip;81M;Cadastro de empresas - parte 3
2026-01;Empresas4.zip;https://arquivos.receitafederal.gov.br/dados/cnpj/dados_abertos_cnpj/2026-01/Empresas4.zip;86M;Cadastro de empresas - parte 4
2026-01;Empresas5.zip;https://arquivos.receitafederal.gov.br/dados/cnpj/dados_abertos_cnpj/2026-01/Empresas5.zip;93M;Cadastro de empresas - parte 5
2026-01;Empresas6.zip;https://arquivos.receitafederal.gov.br/dados/cnpj/dados_abertos_cnpj/2026-01/Empresas6.zip;90M;Cadastro de empresas - parte 6
2026-01;Empresas7.zip;https://arquivos.receitafederal.gov.br/dados/cnpj/dados_abertos_cnpj/2026-01/Empresas7.zip;94M;Cadastro de empresas - parte 7
2026-01;Empresas8.zip;https://arquivos.receitafederal.gov.br/dados/cnpj/dados_abertos_cnpj/2026-01/Empresas8.zip;94M;Cadastro de empresas - parte 8
2026-01;Empresas9.zip;https://arquivos.receitafederal.gov.br/dados/cnpj/dados_abertos_cnpj/2026-01/Empresas9.zip;90M;Cadastro de empresas - parte 9
2026-01;Estabelecimentos0.zip;https://arquivos.receitafederal.gov.br/dados/cnpj/dados_abertos_cnpj/2026-01/Estabelecimentos0.zip;1.8G;Cadastro de estabelecimentos - parte 0
2026-01;Estabelecimentos1.zip;https://arquivos.receitafederal.gov.br/dados/cnpj/dados_abertos_cnpj/2026-01/Estabelecimentos1.zip;325M;Cadastro de estabelecimentos - parte 1
2026-01;Estabelecimentos2.zip;https://arquivos.receitafederal.gov.br/dados/cnpj/dados_abertos_cnpj/2026-01/Estabelecimentos2.zip;320M;Cadastro de estabelecimentos - parte 2
2026-01;Estabelecimentos3.zip;https://arquivos.receitafederal.gov.br/dados/cnpj/dados_abertos_cnpj/2026-01/Estabelecimentos3.zip;344M;Cadastro de estabelecimentos - parte 3
2026-01;Estabelecimentos4.zip;https://arquivos.receitafederal.gov.br/dados/cnpj/dados_abertos_cnpj/2026-01/Estabelecimentos4.zip;332M;Cadastro de estabelecimentos - parte 4
2026-01;Estabelecimentos5.zip;https://arquivos.receitafederal.gov.br/dados/cnpj/dados_abertos_cnpj/2026-01/Estabelecimentos5.zip;319M;Cadastro de estabelecimentos - parte 5
2026-01;Estabelecimentos6.zip;https://arquivos.receitafederal.gov.br/dados/cnpj/dados_abertos_cnpj/2026-01/Estabelecimentos6.zip;336M;Cadastro de estabelecimentos - parte 6
2026-01;Estabelecimentos7.zip;https://arquivos.receitafederal.gov.br/dados/cnpj/dados_abertos_cnpj/2026-01/Estabelecimentos7.zip;340M;Cadastro de estabelecimentos - parte 7
2026-01;Estabelecimentos8.zip;https://arquivos.receitafederal.gov.br/dados/cnpj/dados_abertos_cnpj/2026-01/Estabelecimentos8.zip;320M;Cadastro de estabelecimentos - parte 8
2026-01;Estabelecimentos9.zip;https://arquivos.receitafederal.gov.br/dados/cnpj/dados_abertos_cnpj/2026-01/Estabelecimentos9.zip;326M;Cadastro de estabelecimentos - parte 9
2026-01;Simples.zip;https://arquivos.receitafederal.gov.br/dados/cnpj/dados_abertos_cnpj/2026-01/Simples.zip;268M;Opção pelo Simples Nacional e MEI
2026-01;Cnaes.zip;https://arquivos.receitafederal.gov.br/dados/cnpj/dados_abertos_cnpj/2026-01/Cnaes.zip;22K;Tabela domínio de CNAE
2026-01;Naturezas.zip;https://arquivos.receitafederal.gov.br/dados/cnpj/dados_abertos_cnpj/2026-01/Naturezas.zip;1.5K;Tabela domínio de naturezas jurídicas
2026-01;Municipios.zip;https://arquivos.receitafederal.gov.br/dados/cnpj/dados_abertos_cnpj/2026-01/Municipios.zip;42K;Tabela domínio de municípios
2026-01;Motivos.zip;https://arquivos.receitafederal.gov.br/dados/cnpj/dados_abertos_cnpj/2026-01/Motivos.zip;1.2K;Tabela domínio de motivos de situação cadastral
2026-01;Qualificacoes.zip;https://arquivos.receitafederal.gov.br/dados/cnpj/dados_abertos_cnpj/2026-01/Qualificacoes.zip;1.0K;Tabela domínio de qualificações
2026-01;Paises.zip;https://arquivos.receitafederal.gov.br/dados/cnpj/dados_abertos_cnpj/2026-01/Paises.zip;2.7K;Tabela domínio de países
